ID	word	translation
482	take heed	обращать внимание, учитывать, принимать во внимание; внимательно следить (за чем-л.) [ hiːd ]
394	maze	лабиринт [ meɪz ]
504	wastepaper	макулатура []
220	sticky end	an unpleasant finish or death (esp in the phrase come to or meet a sticky end) [stiki end]
262	weirdo	человек со странностями, странный тип; экстравагантная личность [ 'wɪədəu ]
381	infusion	настой, настойка вливание примесь, оттенок [ ɪn'fjuːʒ(ə)n ]
159	plain	простой; ясный, понятный [ pleɪn ]
140	nephew	племянник [nefju:]
207	snooze	дремота, сонное состояние; короткий сон (днём) [snu:z]
13	bear	нести
461	simmer	медленное кипение; выкипание кипеть на медленном огне [ 'sɪmə ]
88	flatter	льстить
41	climbing	взбираться, влезать, карабкаться, подниматься
51	crackpot	ненормальный, чокнутый, сумасшедший [ 'krækpɔt ]
190	shine,shone	светить, сиять, озарять
335	dunderhead	глупая башка, болван [ 'dʌndəhed ]
342	excitement	возбуждение, волнение [ ɪk'saɪtmənt ], [ ek- ]
86	fidget	fidget about проявлять нетерпение, беспокойно двигаться; ёрзать [ 'fɪʤɪt ]
37	cereal	зерновой [sɪərɪəl]
264	whiskery	со щетиной [wisk(Ə)ri]
346	fame	известность, популярность, слава [ feɪm ]
103	grudgingly	неохотно, нехотя, без желания [ 'grʌʤɪŋlɪ ]
136	mug	кружка [ mʌg ]
370	hang around	бродить вокруг; околачиваться, шляться, слоняться быть близким, надвигаться [ hæŋ ]
272	wriggle	пробираться вперёд прям. и перен. втираться, примазываться [ 'rɪgl ]
485	thickset	коренастый [ ˌθɪk'set ]
447	scale	весы чаша весов[ skeɪl ]
292	bowl	кубок, чаша [ bəul ]
337	eel	угорь [ iːl ]
44	clutching	сжимая
35	can	1) металлическая, стеклянная или керамическая тара (банка, фляга, баллон, бидон, канистра) || разливать в металлическую, стеклянную
359	git	мерзавец [ gɪt ]
301	bustling	суетливый, шумный, беспокойный [ 'bʌslɪŋ ]
12	beaming	сияющий, лучезарный [ 'biːmɪŋ ]
179	ruffle	рябь ружевная гофрированная манжетка [ 'rʌfl ]
502	walking stick	трость []
84	fast asleep	разоспаться
181	sad	грустный, печальный; унылый [sӕd]
223	stove	печь, печка [stauv]
135	muffled	заглушённый, приглушённый (о голосах, звуках) [mʌfld]
457	sheet	простыня полотно, холст, полотнище ведомость, таблица парус, обёртывать, литься как из ведра [ ʃiːt ]
493	treacle	патока лесть, слащавость намазывать патокой [ 'triːkl ]
506	weed	сорная трава, сорняк [ wiːd ]
173	relief	облегчение, утешение [rilif]
43	clout	сильный удар, затрещина [ klaut ]
191	shooting star	дряквенник средний, метеор, падающая звезда
368	handful	пригоршня; горсть [ 'hæn(d)ful ]
516	yawn	зевать [ jɔːn ]
245	toad	жаба 2) отвратительный человек, гадина [ təud ]
393	match	спичка [ mæʧ ]
16	bewilder	смущать; ставить в тупик; сбивать с толку; приводить в замешательство [ bɪ'wɪldə ]
439	rub off	передаваться, переходить к (кому л)
445	rush	напряжение, спешка, суета стремительное движение, бросок, напор, натиск, наплыв [ rʌʃ ]
202	smartly	а) энергично, сильно, резко (о каком-л. физическом действии) [smɑtli]
395	mean	посредственный, средненький, недалёкий [ miːn ]
203	snap	треск; щёлканье, щелчок, [snæp]
256	uneasy	беспокойный
